Region,Compensation of Employees (Million) (Growth %),Current Taxes on Income (Million) (Growth %),Disposable Household Income (Million) (Growth %),Disposable Income per Person (Euro) (Growth %),Disposable Income per Person (excluding Rent) (Euro) (Growth %),Index of Disposable Income per Person (State100) (Growth %),Index of Disposable Income per Person (excluding Rent) (State100) (Growth %),Index of Total Income per Person (State100) (Growth %),Rent of dwellings (Million) (Growth %),Total Household Income (Million) (Growth %),Total Income per Person (Euro) (Growth %),Period
Eastern and Midland,91.57437977005219,75.4965169877497,90.40481784547246,62.091587799394965,54.31685292900911,4.264586709886556,5.6704327435514905,1.691746892232921,183.95906053168935,84.89876833189162,57.40428593183048,2014–2023
Ireland,86.71768530299157,74.51899442093803,76.96976849838025,55.46937976998317,50.68826083937375,0.0,0.0,0.0,142.50232336653895,76.19400412592493,54.78781995173735,2014–2023
Northern and Western,80.69668760955344,76.86593431780227,63.12930831890634,50.11580565689624,48.17743447182246,-3.4428794992175242,-6.101694915254228,-0.987824488858258,93.20316438116595,66.53024062695856,53.24541463977024,2014–2023
Southern,80.9144758341546,71.31702465010484,65.62738846530209,48.654246595536875,47.072860683089324,-4.381245196003077,-4.464538005086178,-3.082156478713544,90.71441037275815,67.14485826293392,50.01621521450412,2014–2023
