"Statistic Label","Year","NUTS 2 Region","UNIT","VALUE"
"Total Income per Person","2000","Northern & Western","Euro","14777.61"
"Total Income per Person","2000","Southern","Euro","16431.28"
"Total Income per Person","2000","Eastern & Midland","Euro","19445.58"
"Total Income per Person","2001","Ireland","Euro","19486.74"
"Total Income per Person","2001","Northern & Western","Euro","16412.1"
"Total Income per Person","2001","Southern","Euro","18233.01"
"Total Income per Person","2001","Eastern & Midland","Euro","21570.05"
"Total Income per Person","2002","Ireland","Euro","20201.62"
"Total Income per Person","2002","Northern & Western","Euro","16913.99"
"Total Income per Person","2002","Southern","Euro","18923.08"
"Total Income per Person","2002","Eastern & Midland","Euro","22378.83"
"Total Income per Person","2003","Ireland","Euro","21468.5"
"Total Income per Person","2003","Northern & Western","Euro","17889.31"
"Total Income per Person","2003","Southern","Euro","20345.25"
"Total Income per Person","2003","Eastern & Midland","Euro","23644.96"
"Total Income per Person","2004","Ireland","Euro","22906.81"
"Total Income per Person","2004","Northern & Western","Euro","19013.68"
"Total Income per Person","2004","Southern","Euro","21903.3"
"Total Income per Person","2004","Eastern & Midland","Euro","25122.14"
"Total Income per Person","2005","Ireland","Euro","24718.4"
"Total Income per Person","2005","Northern & Western","Euro","20386.71"
"Total Income per Person","2005","Southern","Euro","23859.66"
"Total Income per Person","2005","Eastern & Midland","Euro","26988.35"
"Total Income per Person","2006","Ireland","Euro","26071.06"
"Total Income per Person","2006","Northern & Western","Euro","21516.59"
"Total Income per Person","2006","Southern","Euro","25135.65"
"Total Income per Person","2006","Eastern & Midland","Euro","28467.1"
"Total Income per Person","2007","Ireland","Euro","27740.24"
"Total Income per Person","2007","Northern & Western","Euro","23315.21"
"Total Income per Person","2007","Southern","Euro","26758.41"
"Total Income per Person","2007","Eastern & Midland","Euro","30100.27"
"Total Income per Person","2008","Ireland","Euro","28277.94"
"Total Income per Person","2008","Northern & Western","Euro","23787.02"
"Total Income per Person","2008","Southern","Euro","27237.84"
"Total Income per Person","2008","Eastern & Midland","Euro","30701.28"
"Total Income per Person","2009","Ireland","Euro","26613.46"
"Total Income per Person","2009","Northern & Western","Euro","23153.24"
"Total Income per Person","2009","Southern","Euro","25753.1"
"Total Income per Person","2009","Eastern & Midland","Euro","28528.5"
"Total Income per Person","2010","Ireland","Euro","25325.41"
"Total Income per Person","2010","Northern & Western","Euro","21890.58"
"Total Income per Person","2010","Southern","Euro","24572.43"
"Total Income per Person","2010","Eastern & Midland","Euro","27156.63"
"Total Income per Person","2011","Ireland","Euro","25439.43"
"Total Income per Person","2011","Northern & Western","Euro","22381.01"
"Total Income per Person","2011","Southern","Euro","24747.54"
"Total Income per Person","2011","Eastern & Midland","Euro","27081.22"
"Total Income per Person","2012","Ireland","Euro","26204.85"
"Total Income per Person","2012","Northern & Western","Euro","22871"
"Total Income per Person","2012","Southern","Euro","25620.99"
"Total Income per Person","2012","Eastern & Midland","Euro","27875.66"
"Total Income per Person","2013","Ireland","Euro","26058.16"
"Total Income per Person","2013","Northern & Western","Euro","22711.14"
"Total Income per Person","2013","Southern","Euro","25299.53"
"Total Income per Person","2013","Eastern & Midland","Euro","27855.89"
"Total Income per Person","2014","Ireland","Euro","26699.73"
"Total Income per Person","2014","Northern & Western","Euro","23245.72"
"Total Income per Person","2014","Southern","Euro","25901.6"
"Total Income per Person","2014","Eastern & Midland","Euro","28565.55"
"Total Income per Person","2015","Ireland","Euro","27982.73"
"Total Income per Person","2015","Northern & Western","Euro","24132.76"
"Total Income per Person","2015","Southern","Euro","26986.48"
"Total Income per Person","2015","Eastern & Midland","Euro","30136.85"
"Total Income per Person","2016","Ireland","Euro","28809.18"
"Total Income per Person","2016","Northern & Western","Euro","24533.09"
"Total Income per Person","2016","Southern","Euro","27549.46"
"Total Income per Person","2016","Eastern & Midland","Euro","31308.59"
"Total Income per Person","2017","Ireland","Euro","30289.59"
"Total Income per Person","2017","Northern & Western","Euro","25596.5"
"Total Income per Person","2017","Southern","Euro","28981.66"
"Total Income per Person","2017","Eastern & Midland","Euro","32980.67"
"Total Income per Person","2018","Ireland","Euro","31272.18"
"Total Income per Person","2018","Northern & Western","Euro","26404.37"
"Total Income per Person","2018","Southern","Euro","29595.71"
"Total Income per Person","2018","Eastern & Midland","Euro","34286.59"
"Total Income per Person","2019","Ireland","Euro","32978.01"
"Total Income per Person","2019","Northern & Western","Euro","28280.91"
"Total Income per Person","2019","Southern","Euro","31147.83"
"Total Income per Person","2019","Eastern & Midland","Euro","35937.18"
"Total Income per Person","2020","Ireland","Euro","33579.88"
"Total Income per Person","2020","Northern & Western","Euro","29432.13"
"Total Income per Person","2020","Southern","Euro","31779.95"
"Total Income per Person","2020","Eastern & Midland","Euro","36318.34"
"Total Income per Person","2021","Ireland","Euro","36162.62"
"Total Income per Person","2021","Northern & Western","Euro","30947.23"
"Total Income per Person","2021","Southern","Euro","33934.7"
"Total Income per Person","2021","Eastern & Midland","Euro","39566.12"
"Total Income per Person","2022","Ireland","Euro","38409.15"
"Total Income per Person","2022","Northern & Western","Euro","32923.65"
"Total Income per Person","2022","Southern","Euro","36128.09"
"Total Income per Person","2022","Eastern & Midland","Euro","41893.9"
"Total Income per Person","2023","Ireland","Euro","41327.93"
"Total Income per Person","2023","Northern & Western","Euro","35623"
"Total Income per Person","2023","Southern","Euro","38856.6"
"Total Income per Person","2023","Eastern & Midland","Euro","44963.4"
"Index of Total Income per Person","2000","Ireland","State=100","100"
"Index of Total Income per Person","2000","Northern & Western","State=100","84.15"
"Index of Total Income per Person","2000","Southern","State=100","93.57"
"Index of Total Income per Person","2000","Eastern & Midland","State=100","110.73"
"Index of Total Income per Person","2001","Ireland","State=100","100"
"Index of Total Income per Person","2001","Northern & Western","State=100","84.22"
"Index of Total Income per Person","2001","Southern","State=100","93.57"
"Index of Total Income per Person","2001","Eastern & Midland","State=100","110.69"
"Index of Total Income per Person","2002","Ireland","State=100","100"
"Index of Total Income per Person","2002","Northern & Western","State=100","83.73"
"Index of Total Income per Person","2002","Southern","State=100","93.67"
"Index of Total Income per Person","2002","Eastern & Midland","State=100","110.78"
"Index of Total Income per Person","2003","Ireland","State=100","100"
"Index of Total Income per Person","2003","Northern & Western","State=100","83.33"
"Index of Total Income per Person","2003","Southern","State=100","94.77"
"Index of Total Income per Person","2003","Eastern & Midland","State=100","110.14"
"Index of Total Income per Person","2004","Ireland","State=100","100"
"Index of Total Income per Person","2004","Northern & Western","State=100","83"
"Index of Total Income per Person","2004","Southern","State=100","95.62"
"Index of Total Income per Person","2004","Eastern & Midland","State=100","109.67"
"Index of Total Income per Person","2005","Ireland","State=100","100"
"Index of Total Income per Person","2005","Northern & Western","State=100","82.48"
"Index of Total Income per Person","2005","Southern","State=100","96.53"
"Index of Total Income per Person","2005","Eastern & Midland","State=100","109.18"
"Index of Total Income per Person","2006","Ireland","State=100","100"
"Index of Total Income per Person","2006","Northern & Western","State=100","82.53"
"Index of Total Income per Person","2006","Southern","State=100","96.41"
"Index of Total Income per Person","2006","Eastern & Midland","State=100","109.19"
"Index of Total Income per Person","2007","Ireland","State=100","100"
"Index of Total Income per Person","2007","Northern & Western","State=100","84.05"
"Index of Total Income per Person","2007","Southern","State=100","96.46"
"Index of Total Income per Person","2007","Eastern & Midland","State=100","108.51"
"Index of Total Income per Person","2008","Ireland","State=100","100"
"Index of Total Income per Person","2008","Northern & Western","State=100","84.12"
"Index of Total Income per Person","2008","Southern","State=100","96.32"
"Index of Total Income per Person","2008","Eastern & Midland","State=100","108.57"
"Index of Total Income per Person","2009","Ireland","State=100","100"
"Index of Total Income per Person","2009","Northern & Western","State=100","87"
"Index of Total Income per Person","2009","Southern","State=100","96.77"
"Index of Total Income per Person","2009","Eastern & Midland","State=100","107.2"
"Index of Total Income per Person","2010","Ireland","State=100","100"
"Index of Total Income per Person","2010","Northern & Western","State=100","86.44"
"Index of Total Income per Person","2010","Southern","State=100","97.03"
"Index of Total Income per Person","2010","Eastern & Midland","State=100","107.23"
"Index of Total Income per Person","2011","Ireland","State=100","100"
"Index of Total Income per Person","2011","Northern & Western","State=100","87.98"
"Index of Total Income per Person","2011","Southern","State=100","97.28"
"Index of Total Income per Person","2011","Eastern & Midland","State=100","106.45"
"Index of Total Income per Person","2012","Ireland","State=100","100"
"Index of Total Income per Person","2012","Northern & Western","State=100","87.28"
"Index of Total Income per Person","2012","Southern","State=100","97.77"
"Index of Total Income per Person","2012","Eastern & Midland","State=100","106.38"
"Index of Total Income per Person","2013","Ireland","State=100","100"
"Index of Total Income per Person","2013","Northern & Western","State=100","87.16"
"Index of Total Income per Person","2013","Southern","State=100","97.09"
"Index of Total Income per Person","2013","Eastern & Midland","State=100","106.9"
"Index of Total Income per Person","2014","Ireland","State=100","100"
"Index of Total Income per Person","2014","Northern & Western","State=100","87.06"
"Index of Total Income per Person","2014","Southern","State=100","97.01"
"Index of Total Income per Person","2014","Eastern & Midland","State=100","106.99"
"Index of Total Income per Person","2015","Ireland","State=100","100"
"Index of Total Income per Person","2015","Northern & Western","State=100","86.24"
"Index of Total Income per Person","2015","Southern","State=100","96.44"
"Index of Total Income per Person","2015","Eastern & Midland","State=100","107.7"
"Index of Total Income per Person","2016","Ireland","State=100","100"
"Index of Total Income per Person","2016","Northern & Western","State=100","85.16"
"Index of Total Income per Person","2016","Southern","State=100","95.63"
"Index of Total Income per Person","2016","Eastern & Midland","State=100","108.68"
"Index of Total Income per Person","2017","Ireland","State=100","100"
"Index of Total Income per Person","2017","Northern & Western","State=100","84.51"
"Index of Total Income per Person","2017","Southern","State=100","95.68"
"Index of Total Income per Person","2017","Eastern & Midland","State=100","108.88"
"Index of Total Income per Person","2018","Ireland","State=100","100"
"Index of Total Income per Person","2018","Northern & Western","State=100","84.43"
"Index of Total Income per Person","2018","Southern","State=100","94.64"
"Index of Total Income per Person","2018","Eastern & Midland","State=100","109.64"
"Index of Total Income per Person","2019","Ireland","State=100","100"
"Index of Total Income per Person","2019","Northern & Western","State=100","85.76"
"Index of Total Income per Person","2019","Southern","State=100","94.45"
"Index of Total Income per Person","2019","Eastern & Midland","State=100","108.97"
"Index of Total Income per Person","2020","Ireland","State=100","100"
"Index of Total Income per Person","2020","Northern & Western","State=100","87.65"
"Index of Total Income per Person","2020","Southern","State=100","94.64"
"Index of Total Income per Person","2020","Eastern & Midland","State=100","108.16"
"Index of Total Income per Person","2021","Ireland","State=100","100"
"Index of Total Income per Person","2021","Northern & Western","State=100","85.58"
"Index of Total Income per Person","2021","Southern","State=100","93.84"
"Index of Total Income per Person","2021","Eastern & Midland","State=100","109.41"
"Index of Total Income per Person","2022","Ireland","State=100","100"
"Index of Total Income per Person","2022","Northern & Western","State=100","85.72"
"Index of Total Income per Person","2022","Southern","State=100","94.06"
"Index of Total Income per Person","2022","Eastern & Midland","State=100","109.07"
"Index of Total Income per Person","2023","Ireland","State=100","100"
"Index of Total Income per Person","2023","Northern & Western","State=100","86.2"
"Index of Total Income per Person","2023","Southern","State=100","94.02"
"Index of Total Income per Person","2023","Eastern & Midland","State=100","108.8"
"Current Taxes on Income","2000","Ireland","Euro Million","19066.96"
"Current Taxes on Income","2000","Northern & Western","Euro Million","2240.21"
"Current Taxes on Income","2000","Southern","Euro Million","4965.02"
"Current Taxes on Income","2000","Eastern & Midland","Euro Million","11861.73"
"Current Taxes on Income","2001","Ireland","Euro Million","20406.51"
"Current Taxes on Income","2001","Northern & Western","Euro Million","2368.28"
"Current Taxes on Income","2001","Southern","Euro Million","5242.86"
"Current Taxes on Income","2001","Eastern & Midland","Euro Million","12795.37"
"Current Taxes on Income","2002","Ireland","Euro Million","20561.66"
"Current Taxes on Income","2002","Northern & Western","Euro Million","2313.54"
"Current Taxes on Income","2002","Southern","Euro Million","4984.61"
"Current Taxes on Income","2002","Eastern & Midland","Euro Million","13263.51"
"Current Taxes on Income","2003","Ireland","Euro Million","22676.77"
"Current Taxes on Income","2003","Northern & Western","Euro Million","2586.18"
"Current Taxes on Income","2003","Southern","Euro Million","5666.43"
"Current Taxes on Income","2003","Eastern & Midland","Euro Million","14424.17"
"Current Taxes on Income","2004","Ireland","Euro Million","25688.4"
"Current Taxes on Income","2004","Northern & Western","Euro Million","3008.77"
"Current Taxes on Income","2004","Southern","Euro Million","6572.26"
"Current Taxes on Income","2004","Eastern & Midland","Euro Million","16107.38"
"Current Taxes on Income","2005","Ireland","Euro Million","29012.53"
"Current Taxes on Income","2005","Northern & Western","Euro Million","3548.95"
"Current Taxes on Income","2005","Southern","Euro Million","7696.2"
"Current Taxes on Income","2005","Eastern & Midland","Euro Million","17767.38"
"Current Taxes on Income","2006","Ireland","Euro Million","32379.8"
"Current Taxes on Income","2006","Northern & Western","Euro Million","3792.71"
"Current Taxes on Income","2006","Southern","Euro Million","8490.05"
"Current Taxes on Income","2006","Eastern & Midland","Euro Million","20097.04"
"Current Taxes on Income","2007","Ireland","Euro Million","35753.85"
"Current Taxes on Income","2007","Northern & Western","Euro Million","4399.74"
"Current Taxes on Income","2007","Southern","Euro Million","9554.1"
"Current Taxes on Income","2007","Eastern & Midland","Euro Million","21800.01"
"Current Taxes on Income","2008","Ireland","Euro Million","33736.52"
"Current Taxes on Income","2008","Northern & Western","Euro Million","4006.85"
"Current Taxes on Income","2008","Southern","Euro Million","8613.34"
"Current Taxes on Income","2008","Eastern & Midland","Euro Million","21116.34"
"Current Taxes on Income","2009","Ireland","Euro Million","33112.36"
"Current Taxes on Income","2009","Northern & Western","Euro Million","4018.22"
"Current Taxes on Income","2009","Southern","Euro Million","8600.75"
"Current Taxes on Income","2009","Eastern & Midland","Euro Million","20493.39"
"Current Taxes on Income","2010","Ireland","Euro Million","32974.27"
"Current Taxes on Income","2010","Northern & Western","Euro Million","4006.57"
"Current Taxes on Income","2010","Southern","Euro Million","8812.4"
"Current Taxes on Income","2010","Eastern & Midland","Euro Million","20155.3"
"Current Taxes on Income","2011","Ireland","Euro Million","34597.43"
"Current Taxes on Income","2011","Northern & Western","Euro Million","4393.9"
"Current Taxes on Income","2011","Southern","Euro Million","9513.27"
"Current Taxes on Income","2011","Eastern & Midland","Euro Million","20690.26"
"Current Taxes on Income","2012","Ireland","Euro Million","36418.8"
"Current Taxes on Income","2012","Northern & Western","Euro Million","4493.54"
"Current Taxes on Income","2012","Southern","Euro Million","9977.43"
"Current Taxes on Income","2012","Eastern & Midland","Euro Million","21947.83"
"Current Taxes on Income","2013","Ireland","Euro Million","36784.8"
"Current Taxes on Income","2013","Northern & Western","Euro Million","4549.03"
"Current Taxes on Income","2013","Southern","Euro Million","10038.46"
"Current Taxes on Income","2013","Eastern & Midland","Euro Million","22197.31"
"Current Taxes on Income","2014","Ireland","Euro Million","39320.23"
"Current Taxes on Income","2014","Northern & Western","Euro Million","4886.56"
"Current Taxes on Income","2014","Southern","Euro Million","10797.52"
"Current Taxes on Income","2014","Eastern & Midland","Euro Million","23636.15"
"Current Taxes on Income","2015","Ireland","Euro Million","41439.6"
"Current Taxes on Income","2015","Northern & Western","Euro Million","5135.14"
"Current Taxes on Income","2015","Southern","Euro Million","11297.83"
"Current Taxes on Income","2015","Eastern & Midland","Euro Million","25006.63"
"Current Taxes on Income","2016","Ireland","Euro Million","42360.93"
"Current Taxes on Income","2016","Northern & Western","Euro Million","5301.59"
"Current Taxes on Income","2016","Southern","Euro Million","11535.84"
"Current Taxes on Income","2016","Eastern & Midland","Euro Million","25523.5"
"Current Taxes on Income","2017","Ireland","Euro Million","45199.51"
"Current Taxes on Income","2017","Northern & Western","Euro Million","5638.88"
"Current Taxes on Income","2017","Southern","Euro Million","12301.62"
"Current Taxes on Income","2017","Eastern & Midland","Euro Million","27259.01"
"Current Taxes on Income","2018","Ireland","Euro Million","47885.88"
"Current Taxes on Income","2018","Northern & Western","Euro Million","5994.4"
"Current Taxes on Income","2018","Southern","Euro Million","13145.78"
"Current Taxes on Income","2018","Eastern & Midland","Euro Million","28745.7"
"Current Taxes on Income","2019","Ireland","Euro Million","50976.97"
"Current Taxes on Income","2019","Northern & Western","Euro Million","6344.49"
"Current Taxes on Income","2019","Southern","Euro Million","13970.73"
"Current Taxes on Income","2019","Eastern & Midland","Euro Million","30661.75"
"Current Taxes on Income","2020","Ireland","Euro Million","50002.31"
"Current Taxes on Income","2020","Northern & Western","Euro Million","6254.01"
"Current Taxes on Income","2020","Southern","Euro Million","13914.3"
"Current Taxes on Income","2020","Eastern & Midland","Euro Million","29834"
"Current Taxes on Income","2021","Ireland","Euro Million","59167.37"
"Current Taxes on Income","2021","Northern & Western","Euro Million","7535.73"
"Current Taxes on Income","2021","Southern","Euro Million","16357.39"
"Current Taxes on Income","2021","Eastern & Midland","Euro Million","35274.24"
"Current Taxes on Income","2022","Ireland","Euro Million","64652.15"
"Current Taxes on Income","2022","Northern & Western","Euro Million","8282.61"
"Current Taxes on Income","2022","Southern","Euro Million","17658.85"
"Current Taxes on Income","2022","Eastern & Midland","Euro Million","38710.68"
"Current Taxes on Income","2023","Ireland","Euro Million","68621.27"
"Current Taxes on Income","2023","Northern & Western","Euro Million","8642.66"
"Current Taxes on Income","2023","Southern","Euro Million","18497.99"
"Current Taxes on Income","2023","Eastern & Midland","Euro Million","41480.62"
"Disposable Household Income","2000","Ireland","Euro Million","47739.92"
"Disposable Household Income","2000","Northern & Western","Euro Million","7965.59"
"Disposable Household Income","2000","Southern","Euro Million","16540.78"
"Disposable Household Income","2000","Eastern & Midland","Euro Million","23233.55"
"Disposable Household Income","2001","Ireland","Euro Million","54886.24"
"Disposable Household Income","2001","Northern & Western","Euro Million","9126.78"
"Disposable Household Income","2001","Southern","Euro Million","18999.39"
"Disposable Household Income","2001","Eastern & Midland","Euro Million","26760.07"
"Disposable Household Income","2002","Ireland","Euro Million","58868.09"
"Disposable Household Income","2002","Northern & Western","Euro Million","9757.44"
"Disposable Household Income","2002","Southern","Euro Million","20534.81"
"Disposable Household Income","2002","Eastern & Midland","Euro Million","28575.84"
"Disposable Household Income","2003","Ireland","Euro Million","63132.72"
"Disposable Household Income","2003","Northern & Western","Euro Million","10433.54"
"Disposable Household Income","2003","Southern","Euro Million","22143.37"
"Disposable Household Income","2003","Eastern & Midland","Euro Million","30555.8"
"Disposable Household Income","2004","Ireland","Euro Million","67481.53"
"Disposable Household Income","2004","Northern & Western","Euro Million","11108.73"
"Disposable Household Income","2004","Southern","Euro Million","23879.06"
"Disposable Household Income","2004","Eastern & Midland","Euro Million","32493.73"
"Disposable Household Income","2005","Ireland","Euro Million","73816.23"
"Disposable Household Income","2005","Northern & Western","Euro Million","11907.2"
"Disposable Household Income","2005","Southern","Euro Million","26148.18"
"Disposable Household Income","2005","Eastern & Midland","Euro Million","35760.85"
"Disposable Household Income","2006","Ireland","Euro Million","78939.02"
"Disposable Household Income","2006","Northern & Western","Euro Million","12910.91"
"Disposable Household Income","2006","Southern","Euro Million","27988.93"
"Disposable Household Income","2006","Eastern & Midland","Euro Million","38039.18"
"Disposable Household Income","2007","Ireland","Euro Million","86308.3"
"Disposable Household Income","2007","Northern & Western","Euro Million","14167.54"
"Disposable Household Income","2007","Southern","Euro Million","30330.79"
"Disposable Household Income","2007","Eastern & Midland","Euro Million","41809.97"
"Disposable Household Income","2008","Ireland","Euro Million","93401.98"
"Disposable Household Income","2008","Northern & Western","Euro Million","15356.2"
"Disposable Household Income","2008","Southern","Euro Million","32809.13"
"Disposable Household Income","2008","Eastern & Midland","Euro Million","45236.65"
"Disposable Household Income","2009","Ireland","Euro Million","87690.36"
"Disposable Household Income","2009","Northern & Western","Euro Million","15088.5"
"Disposable Household Income","2009","Southern","Euro Million","30898.89"
"Disposable Household Income","2009","Eastern & Midland","Euro Million","41702.97"
"Disposable Household Income","2010","Ireland","Euro Million","82503.76"
"Disposable Household Income","2010","Northern & Western","Euro Million","14176.61"
"Disposable Household Income","2010","Southern","Euro Million","28991.72"
"Disposable Household Income","2010","Eastern & Midland","Euro Million","39335.43"
"Disposable Household Income","2011","Ireland","Euro Million","81878.09"
"Disposable Household Income","2011","Northern & Western","Euro Million","14307.18"
"Disposable Household Income","2011","Southern","Euro Million","28552.84"
"Disposable Household Income","2011","Eastern & Midland","Euro Million","39018.07"
"Disposable Household Income","2012","Ireland","Euro Million","84056.43"
"Disposable Household Income","2012","Northern & Western","Euro Million","14695.84"
"Disposable Household Income","2012","Southern","Euro Million","29594.85"
"Disposable Household Income","2012","Eastern & Midland","Euro Million","39765.74"
"Disposable Household Income","2013","Ireland","Euro Million","83605"
"Disposable Household Income","2013","Northern & Western","Euro Million","14599.91"
"Disposable Household Income","2013","Southern","Euro Million","29229.41"
"Disposable Household Income","2013","Eastern & Midland","Euro Million","39775.68"
"Disposable Household Income","2014","Ireland","Euro Million","84899.19"
"Disposable Household Income","2014","Northern & Western","Euro Million","14850.63"
"Disposable Household Income","2014","Southern","Euro Million","29686.95"
"Disposable Household Income","2014","Eastern & Midland","Euro Million","40361.61"
"Disposable Household Income","2015","Ireland","Euro Million","89960.96"
"Disposable Household Income","2015","Northern & Western","Euro Million","15545.97"
"Disposable Household Income","2015","Southern","Euro Million","31275"
"Disposable Household Income","2015","Eastern & Midland","Euro Million","43140"
"Disposable Household Income","2016","Ireland","Euro Million","94553.66"
"Disposable Household Income","2016","Northern & Western","Euro Million","15976.41"
"Disposable Household Income","2016","Southern","Euro Million","32449.82"
"Disposable Household Income","2016","Eastern & Midland","Euro Million","46127.43"
"Disposable Household Income","2017","Ireland","Euro Million","100829.1"
"Disposable Household Income","2017","Northern & Western","Euro Million","16881.98"
"Disposable Household Income","2017","Southern","Euro Million","34638.79"
"Disposable Household Income","2017","Eastern & Midland","Euro Million","49308.34"
"Disposable Household Income","2018","Ireland","Euro Million","105047.79"
"Disposable Household Income","2018","Northern & Western","Euro Million","17571.3"
"Disposable Household Income","2018","Southern","Euro Million","35478.46"
"Disposable Household Income","2018","Eastern & Midland","Euro Million","51998.03"
"Disposable Household Income","2019","Ireland","Euro Million","112840"
"Disposable Household Income","2019","Northern & Western","Euro Million","18660.02"
"Disposable Household Income","2019","Southern","Euro Million","37604.48"
"Disposable Household Income","2019","Eastern & Midland","Euro Million","56575.51"
"Disposable Household Income","2020","Ireland","Euro Million","119053.26"
"Disposable Household Income","2020","Northern & Western","Euro Million","20119.16"
"Disposable Household Income","2020","Southern","Euro Million","39417.01"
"Disposable Household Income","2020","Eastern & Midland","Euro Million","59517.09"
"Disposable Household Income","2021","Ireland","Euro Million","124967.2"
"Disposable Household Income","2021","Northern & Western","Euro Million","20427.84"
"Disposable Household Income","2021","Southern","Euro Million","41143.25"
"Disposable Household Income","2021","Eastern & Midland","Euro Million","63396.11"
"Disposable Household Income","2022","Ireland","Euro Million","135065.68"
"Disposable Household Income","2022","Northern & Western","Euro Million","21820.73"
"Disposable Household Income","2022","Southern","Euro Million","44486.32"
"Disposable Household Income","2022","Eastern & Midland","Euro Million","68758.63"
"Disposable Household Income","2023","Ireland","Euro Million","150245.9"
"Disposable Household Income","2023","Northern & Western","Euro Million","24225.73"
"Disposable Household Income","2023","Southern","Euro Million","49169.72"
"Disposable Household Income","2023","Eastern & Midland","Euro Million","76850.45"
"Disposable Income per Person","2000","Ireland","Euro","12549.09"
"Disposable Income per Person","2000","Northern & Western","Euro","11533.87"
"Disposable Income per Person","2000","Southern","Euro","12637.81"
"Disposable Income per Person","2000","Eastern & Midland","Euro","12873.23"
"Disposable Income per Person","2001","Ireland","Euro","14205.27"
"Disposable Income per Person","2001","Northern & Western","Euro","13030.78"
"Disposable Income per Person","2001","Southern","Euro","14289.76"
"Disposable Income per Person","2001","Eastern & Midland","Euro","14592.59"
"Disposable Income per Person","2002","Ireland","Euro","14972.11"
"Disposable Income per Person","2002","Northern & Western","Euro","13672.23"
"Disposable Income per Person","2002","Southern","Euro","15226.91"
"Disposable Income per Person","2002","Eastern & Midland","Euro","15284.51"
"Disposable Income per Person","2003","Ireland","Euro","15795.05"
"Disposable Income per Person","2003","Northern & Western","Euro","14335.86"
"Disposable Income per Person","2003","Southern","Euro","16199.77"
"Disposable Income per Person","2003","Eastern & Midland","Euro","16062.5"
"Disposable Income per Person","2004","Ireland","Euro","16591.05"
"Disposable Income per Person","2004","Northern & Western","Euro","14961.42"
"Disposable Income per Person","2004","Southern","Euro","17175.95"
"Disposable Income per Person","2004","Eastern & Midland","Euro","16796.16"
"Disposable Income per Person","2005","Ireland","Euro","17744.25"
"Disposable Income per Person","2005","Northern & Western","Euro","15705.64"
"Disposable Income per Person","2005","Southern","Euro","18433.98"
"Disposable Income per Person","2005","Eastern & Midland","Euro","18030.23"
"Disposable Income per Person","2006","Ireland","Euro","18487.66"
"Disposable Income per Person","2006","Northern & Western","Euro","16631.05"
"Disposable Income per Person","2006","Southern","Euro","19285.62"
"Disposable Income per Person","2006","Eastern & Midland","Euro","18626.35"
"Disposable Income per Person","2007","Ireland","Euro","19614.7"
"Disposable Income per Person","2007","Northern & Western","Euro","17790.39"
"Disposable Income per Person","2007","Southern","Euro","20348.65"
"Disposable Income per Person","2007","Eastern & Midland","Euro","19784.49"
"Disposable Income per Person","2008","Ireland","Euro","20774.31"
"Disposable Income per Person","2008","Northern & Western","Euro","18864.71"
"Disposable Income per Person","2008","Southern","Euro","21574.03"
"Disposable Income per Person","2008","Eastern & Midland","Euro","20930.83"
"Disposable Income per Person","2009","Ireland","Euro","19318.64"
"Disposable Income per Person","2009","Northern & Western","Euro","18284.02"
"Disposable Income per Person","2009","Southern","Euro","20145.56"
"Disposable Income per Person","2009","Eastern & Midland","Euro","19128.5"
"Disposable Income per Person","2010","Ireland","Euro","18093.85"
"Disposable Income per Person","2010","Northern & Western","Euro","17067.1"
"Disposable Income per Person","2010","Southern","Euro","18844.43"
"Disposable Income per Person","2010","Eastern & Midland","Euro","17956.04"
"Disposable Income per Person","2011","Ireland","Euro","17883"
"Disposable Income per Person","2011","Northern & Western","Euro","17122.5"
"Disposable Income per Person","2011","Southern","Euro","18562.77"
"Disposable Income per Person","2011","Eastern & Midland","Euro","17696.97"
"Disposable Income per Person","2012","Ireland","Euro","18283.31"
"Disposable Income per Person","2012","Northern & Western","Euro","17515.35"
"Disposable Income per Person","2012","Southern","Euro","19161.13"
"Disposable Income per Person","2012","Eastern & Midland","Euro","17961.95"
"Disposable Income per Person","2013","Ireland","Euro","18096.16"
"Disposable Income per Person","2013","Northern & Western","Euro","17315.87"
"Disposable Income per Person","2013","Southern","Euro","18831.94"
"Disposable Income per Person","2013","Eastern & Midland","Euro","17878.55"
"Disposable Income per Person","2014","Ireland","Euro","18248.23"
"Disposable Income per Person","2014","Northern & Western","Euro","17490.51"
"Disposable Income per Person","2014","Southern","Euro","18993.45"
"Disposable Income per Person","2014","Eastern & Midland","Euro","18015.5"
"Disposable Income per Person","2015","Ireland","Euro","19157.86"
"Disposable Income per Person","2015","Northern & Western","Euro","18140.57"
"Disposable Income per Person","2015","Southern","Euro","19824.9"
"Disposable Income per Person","2015","Eastern & Midland","Euro","19078.03"
"Disposable Income per Person","2016","Ireland","Euro","19895.71"
"Disposable Income per Person","2016","Northern & Western","Euro","18420.47"
"Disposable Income per Person","2016","Southern","Euro","20324.24"
"Disposable Income per Person","2016","Eastern & Midland","Euro","20155.84"
"Disposable Income per Person","2017","Ireland","Euro","20914.2"
"Disposable Income per Person","2017","Northern & Western","Euro","19187.53"
"Disposable Income per Person","2017","Southern","Euro","21386.47"
"Disposable Income per Person","2017","Eastern & Midland","Euro","21239.11"
"Disposable Income per Person","2018","Ireland","Euro","21480.38"
"Disposable Income per Person","2018","Northern & Western","Euro","19687.9"
"Disposable Income per Person","2018","Southern","Euro","21594.38"
"Disposable Income per Person","2018","Eastern & Midland","Euro","22080.17"
"Disposable Income per Person","2019","Ireland","Euro","22715.83"
