"Statistic Label","Year","NUTS 2 Region","UNIT","VALUE"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2012","Ireland","Euro Million","71983.08"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2012","Northern & Western","Euro Million","10480.98"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2012","Southern","Euro Million","22137.44"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2012","Eastern & Midland","Euro Million","39364.66"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2013","Ireland","Euro Million","73098.06"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2013","Northern & Western","Euro Million","10651.17"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2013","Southern","Euro Million","22417.88"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2013","Eastern & Midland","Euro Million","40029.01"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2014","Ireland","Euro Million","76019.28"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2014","Northern & Western","Euro Million","11090.48"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2014","Southern","Euro Million","23317.62"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2014","Eastern & Midland","Euro Million","41611.18"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2015","Ireland","Euro Million","80874.94"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2015","Northern & Western","Euro Million","11689.94"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2015","Southern","Euro Million","24694.72"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2015","Eastern & Midland","Euro Million","44490.29"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2016","Ireland","Euro Million","86257.55"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2016","Northern & Western","Euro Million","12437.27"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2016","Southern","Euro Million","26227.15"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2016","Eastern & Midland","Euro Million","47593.13"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2017","Ireland","Euro Million","92268.18"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2017","Northern & Western","Euro Million","13237.8"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2017","Southern","Euro Million","27969.71"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2017","Eastern & Midland","Euro Million","51060.68"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2018","Ireland","Euro Million","98206.56"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2018","Northern & Western","Euro Million","14026.49"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2018","Southern","Euro Million","29651.04"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2018","Eastern & Midland","Euro Million","54529.03"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2019","Ireland","Euro Million","106113.02"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2019","Northern & Western","Euro Million","15082.83"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2019","Southern","Euro Million","31797.29"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2019","Eastern & Midland","Euro Million","59232.9"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2020","Ireland","Euro Million","105800.86"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2020","Northern & Western","Euro Million","15015.85"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2020","Southern","Euro Million","31754.44"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2020","Eastern & Midland","Euro Million","59030.56"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2021","Ireland","Euro Million","116964.17"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2021","Northern & Western","Euro Million","16573.98"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2021","Southern","Euro Million","34895.48"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2021","Eastern & Midland","Euro Million","65494.7"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2022","Ireland","Euro Million","128197.82"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2022","Northern & Western","Euro Million","17969.52"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2022","Southern","Euro Million","37933.08"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2022","Eastern & Midland","Euro Million","72295.21"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Ireland","Euro Million","141941.44"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Northern & Western","Euro Million","20040.13"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Southern","Euro Million","42184.95"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Eastern & Midland","Euro Million","79716.36"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Ireland","Euro Million","3180.03"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Northern & Western","Euro Million","455.13"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Southern","Euro Million","902.38"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Eastern & Midland","Euro Million","1822.52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Ireland","Euro Million","3859.05"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Northern & Western","Euro Million","547.58"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Southern","Euro Million","1092.32"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Eastern & Midland","Euro Million","2219.14"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Ireland","Euro Million","4383.05"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Northern & Western","Euro Million","616.73"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Southern","Euro Million","1236.63"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Eastern & Midland","Euro Million","2529.69"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Ireland","Euro Million","4149.89"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Northern & Western","Euro Million","587.38"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Southern","Euro Million","1179.39"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Eastern & Midland","Euro Million","2383.12"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Ireland","Euro Million","3586.87"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Northern & Western","Euro Million","510.26"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Southern","Euro Million","1026.09"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Eastern & Midland","Euro Million","2050.52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Ireland","Euro Million","3063.35"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Northern & Western","Euro Million","437.82"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Southern","Euro Million","881.59"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Eastern & Midland","Euro Million","1743.94"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Ireland","Euro Million","2915.59"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Northern & Western","Euro Million","419.71"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Southern","Euro Million","846.03"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Eastern & Midland","Euro Million","1649.86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Ireland","Euro Million","4719.17"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Northern & Western","Euro Million","692.23"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Southern","Euro Million","1371.06"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Eastern & Midland","Euro Million","2655.88"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Ireland","Euro Million","6841.85"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Northern & Western","Euro Million","1015.19"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Southern","Euro Million","2008.6"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Eastern & Midland","Euro Million","3818.06"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Ireland","Euro Million","4519.99"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Northern & Western","Euro Million","674.03"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Southern","Euro Million","1338.12"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2009","Eastern & Midland","Euro Million","2507.84"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Ireland","Euro Million","5320.58"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Northern & Western","Euro Million","794.4"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Southern","Euro Million","1585.69"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2010","Eastern & Midland","Euro Million","2940.5"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Ireland","Euro Million","5506.32"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Northern & Western","Euro Million","789.16"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Southern","Euro Million","1615.72"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2011","Eastern & Midland","Euro Million","3101.44"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2012","Ireland","Euro Million","5864.26"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2012","Northern & Western","Euro Million","873.69"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2012","Southern","Euro Million","1754.28"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2012","Eastern & Midland","Euro Million","3236.3"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Ireland","Euro Million","5999.48"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Northern & Western","Euro Million","895.71"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Southern","Euro Million","1797.01"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Eastern & Midland","Euro Million","3306.76"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Ireland","Euro Million","6509.95"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Northern & Western","Euro Million","972.07"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Southern","Euro Million","1948.18"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Eastern & Midland","Euro Million","3589.69"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Ireland","Euro Million","7300.2"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Northern & Western","Euro Million","1090.96"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Southern","Euro Million","2184.93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Eastern & Midland","Euro Million","4024.31"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Ireland","Euro Million","7536.1"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Northern & Western","Euro Million","1000.51"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Southern","Euro Million","2103.61"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Eastern & Midland","Euro Million","4431.98"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Ireland","Euro Million","8189.7"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Northern & Western","Euro Million","1085.02"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Southern","Euro Million","2280.82"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Eastern & Midland","Euro Million","4823.86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Ireland","Euro Million","9044.1"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Northern & Western","Euro Million","1196.13"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Southern","Euro Million","2511.53"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Eastern & Midland","Euro Million","5336.43"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2019","Ireland","Euro Million","10219.77"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2019","Northern & Western","Euro Million","1349.34"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2019","Southern","Euro Million","2830.06"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2019","Eastern & Midland","Euro Million","6040.38"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2020","Ireland","Euro Million","10629.43"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2020","Northern & Western","Euro Million","1401"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2020","Southern","Euro Million","2936"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2020","Eastern & Midland","Euro Million","6292.44"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2021","Ireland","Euro Million","11221.86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2021","Northern & Western","Euro Million","1256.23"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2021","Southern","Euro Million","2564.89"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2021","Eastern & Midland","Euro Million","7400.75"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2022","Ireland","Euro Million","12564.86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2022","Northern & Western","Euro Million","1452.95"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2022","Southern","Euro Million","2927.82"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2022","Eastern & Midland","Euro Million","8184.09"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2023","Ireland","Euro Million","15786.78"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2023","Northern & Western","Euro Million","1878.07"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2023","Southern","Euro Million","3715.46"
